ASM943291v1	GCA_009432915.1	GCF_009432915.1
ASM522236v1	GCA_005222365.1	GCF_005222365.1
ASM522178v1	GCA_005221785.1	GCF_005221785.1
ASM3073392v1	GCA_030733925.1	GCF_030733925.1
ASM3641961v1	GCA_036419615.1	GCF_036419615.1
ASM3167547v2	GCA_031675475.2	GCF_031675475.1
ASM3073416v1	GCA_030734165.1	GCF_030734165.1
ASM3093976v2	GCA_030939765.2	GCF_030939765.1
ASM522176v1	GCA_005221765.1	GCF_005221765.1
ASM522164v1	GCA_005221645.1	GCF_005221645.1
ASM522192v1	GCA_005221925.1	GCF_005221925.1
ASM522182v1	GCA_005221825.1	GCF_005221825.1
ASM522180v1	GCA_005221805.1	GCF_005221805.1
ASM522196v1	GCA_005221965.1	GCF_005221965.1
ASM522202v1	GCA_005222025.1	GCF_005222025.1
ASM522162v1	GCA_005221625.1	GCF_005221625.1
ASM522160v1	GCA_005221605.1	GCF_005221605.1
ASM522200v1	GCA_005222005.1	GCF_005222005.1
ASM522174v1	GCA_005221745.1	GCF_005221745.1
ASM522198v1	GCA_005221985.1	GCF_005221985.1
ASM522186v1	GCA_005221865.1	GCF_005221865.1
ASM522166v1	GCA_005221665.1	GCF_005221665.1
ASM522172v1	GCA_005221725.1	GCF_005221725.1
ASM522168v1	GCA_005221685.1	GCF_005221685.1
ASM522226v1	GCA_005222265.1	GCF_005222265.1
ASM522170v1	GCA_005221705.1	GCF_005221705.1
ASM522194v1	GCA_005221945.1	GCF_005221945.1
ASM522206v1	GCA_005222065.1	GCF_005222065.1
ASM522204v1	GCA_005222045.1	GCF_005222045.1
ASM522238v1	GCA_005222385.1	GCF_005222385.1
ASM401063v1	GCA_004010635.1	GCF_004010635.1
ASM1991552v1	GCA_019915525.1	GCF_019915525.1
ASM943313v1	GCA_009433135.1	GCF_009433135.1
ASM2430078v1	GCA_024300785.1	GCF_024300785.1
ASM205876v1	GCA_002058765.1	GCF_002058765.1
ASM3756341v1	GCA_037563415.1	GCF_037563415.1
ASM876153v3	GCA_008761535.3	GCF_008761535.2
ASM522244v1	GCA_005222445.1	GCF_005222445.1
ASM522230v1	GCA_005222305.1	GCF_005222305.1
ASM522242v1	GCA_005222425.1	GCF_005222425.1
ASM301877v1	GCA_003018775.1	GCF_003018775.1
ASM1640367v2	GCA_016403675.2	GCF_016403675.2
ASM301891v1	GCA_003018915.1	GCF_003018915.1
ASM3754152v1	GCA_037541525.1	GCF_037541525.1
ASM301871v1	GCA_003018715.1	GCF_003018715.1
ASM522234v1	GCA_005222345.1	GCF_005222345.1
ASM435838v1	GCA_004358385.1	GCF_004358385.1
ASM201208v1	GCA_002012085.1	GCF_002012085.1
ASM301849v1	GCA_003018495.1	GCF_003018495.1
ASM2539903v1	GCA_025399035.1	GCF_025399035.1
ASM3757354v1	GCA_037573545.1	GCF_037573545.1
ASM2599541v1	GCA_025995415.1	GCF_025995415.1
ASM2599531v1	GCA_025995315.1	GCF_025995315.1
ASM164474v1	GCA_001644745.1	GCF_001644745.1
ASM189034v1	GCA_001890345.1	GCF_001890345.1
ASM401061v1	GCA_004010615.1	GCF_004010615.1
ASM522190v1	GCA_005221905.1	GCF_005221905.1
ASM893118v1	GCA_008931185.1	GCF_008931185.1
ASM301776v1	GCA_003017765.1	GCF_003017765.1
ASM401101v1	GCA_004011015.1	GCF_004011015.1
ASM3757625v1	GCA_037576255.1	GCF_037576255.1
ASM2599547v1	GCA_025995475.1	GCF_025995475.1
ASM522152v1	GCA_005221525.1	GCF_005221525.1
ASM522156v1	GCA_005221565.1	GCF_005221565.1
ASM522154v1	GCA_005221545.1	GCF_005221545.1
ASM2599673v1	GCA_025996735.1	GCF_025996735.1
ASM401059v1	GCA_004010595.1	GCF_004010595.1
ASM1677632v1	GCA_016776325.1	GCF_016776325.1
ASM190035v1	GCA_001900355.1	GCF_001900355.1
ASM892608v1	GCA_008926085.1	GCF_008926085.1
ASM301853v1	GCA_003018535.1	GCF_003018535.1
ASM189026v1	GCA_001890265.1	GCF_001890265.1
ASM357168v1	GCA_003571685.1	GCF_003571685.1
ASM1104521v1	GCA_011045215.1	GCF_011045215.1
ASM224995v1	GCA_002249955.1	GCF_002249955.1
ASM943241v1	GCA_009432415.1	GCF_009432415.1
ASM301887v1	GCA_003018875.1	GCF_003018875.1
ASM301893v1	GCA_003018935.1	GCF_003018935.1
ASM190094v1	GCA_001900945.1	GCF_001900945.1
ASM522184v1	GCA_005221845.1	GCF_005221845.1
ASM943279v1	GCA_009432795.1	GCF_009432795.1
ASM892610v1	GCA_008926105.1	GCF_008926105.1
ASM2599649v1	GCA_025996495.1	GCF_025996495.1
ASM2116601v1	GCA_021166015.1	GCF_021166015.1
ASM2430076v1	GCA_024300765.1	GCF_024300765.1
ASM2599589v1	GCA_025995895.1	GCF_025995895.1
ASM892630v1	GCA_008926305.1	GCF_008926305.1
ASM1694467v1	GCA_016944675.1	GCF_016944675.1
ASM3238429v1	GCA_032384295.1	GCF_032384295.1
ASM301869v1	GCA_003018695.1	GCF_003018695.1
ASM3028558v1	GCA_030285585.1	GCF_030285585.1
ASM2599553v1	GCA_025995535.1	GCF_025995535.1
ASM1460751v1	GCA_014607515.1	GCF_014607515.1
ASM1677608v1	GCA_016776085.1	GCF_016776085.1
ASM301899v1	GCA_003018995.1	GCF_003018995.1
ASM2599667v1	GCA_025996675.1	GCF_025996675.1
ASM330895v1	GCA_003308955.1	GCF_003308955.1
